query_id,d1,d2,gap,relative_gap,num_inliers,num_matches,inlier_ratio,clustered_score,top1_correct
000,1.5909368991851807,1.5985982418060303,0.007661342620849609,0.0048156169014456,14,107,0.1308411214953271,2.8284271247461903,0
001,1.5340670347213745,1.5739717483520508,0.03990471363067627,0.02601236629657711,57,154,0.37012987012987014,7.54983443527075,1
002,1.4563348293304443,1.6469192504882812,0.19058442115783691,0.13086579907277152,191,393,0.4860050890585242,13.820274961085254,1
003,1.4377100467681885,1.6059831380844116,0.16827309131622314,0.11704243960350855,87,212,0.41037735849056606,9.327379053088816,1
004,1.341363549232483,1.6063014268875122,0.2649378776550293,0.19751384910274664,96,301,0.31893687707641194,9.797958971132712,1
005,1.3148963451385498,1.537216067314148,0.22231972217559814,0.16907775506226116,131,316,0.41455696202531644,11.445523142259598,1
006,1.5802719593048096,1.6566901206970215,0.07641816139221191,0.048357601324413586,64,255,0.25098039215686274,12.348984679394844,1
007,1.396784782409668,1.4102669954299927,0.013482213020324707,0.00965231951988038,103,205,0.5024390243902439,10.14889156509222,1
008,1.439316749572754,1.6356110572814941,0.19629430770874023,0.13638020106901982,57,218,0.26146788990825687,7.483314773547883,1
009,1.3128809928894043,1.419565200805664,0.10668420791625977,0.08125961796542418,75,219,0.3424657534246575,8.660254037844387,1
010,1.6714439392089844,1.6953346729278564,0.02389073371887207,0.014293469950406132,60,115,0.5217391304347826,7.745966692414834,1
011,1.6056323051452637,1.72694993019104,0.12131762504577637,0.0755575387073447,72,176,0.4090909090909091,8.48528137423857,1
012,1.2448649406433105,1.3958356380462646,0.1509706974029541,0.12127476039684816,85,302,0.2814569536423841,9.219544457292887,1
013,1.6620075702667236,1.68149733543396,0.019489765167236328,0.01172664042926625,68,180,0.37777777777777777,8.246211251235321,1
014,1.2572505474090576,1.4320201873779297,0.17476963996887207,0.13900939659882225,77,289,0.2664359861591695,12.388390419147301,1
015,1.5235662460327148,1.6799347400665283,0.15636849403381348,0.10263320970846439,61,191,0.3193717277486911,7.810249675906654,1
016,1.2438499927520752,1.432546615600586,0.18869662284851074,0.1517036812702879,82,314,0.2611464968152866,12.549329363810415,1
017,1.5070900917053223,1.713437557220459,0.20634746551513672,0.1369178038199745,39,191,0.20418848167539266,8.512777213062032,1
018,1.155104398727417,1.365050196647644,0.20994579792022705,0.1817548250630204,76,287,0.26480836236933797,8.717797887081348,1
019,1.5584847927093506,1.694320559501648,0.13583576679229736,0.08715886573147336,51,182,0.2802197802197802,7.0,1
020,1.2106748819351196,1.4685430526733398,0.2578681707382202,0.2129953917322945,75,373,0.20107238605898123,14.729601168540707,1
021,1.3481884002685547,1.4416768550872803,0.09348845481872559,0.06934376145062737,58,299,0.1939799331103679,10.755873763085166,1
022,1.2820740938186646,1.4942033290863037,0.21212923526763916,0.16545785948752081,34,233,0.1459227467811159,5.830951894845301,1
023,1.2061059474945068,1.5261061191558838,0.32000017166137695,0.2653168010041957,77,251,0.30677290836653387,8.774964387392123,1
024,1.5260071754455566,1.716071367263794,0.1900641918182373,0.12454999876572875,84,226,0.37168141592920356,9.16515138991168,1
025,1.3814935684204102,1.5312716960906982,0.14977812767028809,0.10841753526333338,52,227,0.2290748898678414,7.211102550927978,1
026,1.3736203908920288,1.6162638664245605,0.24264347553253174,0.17664521955367823,97,242,0.40082644628099173,9.848857801796104,1
027,1.4647234678268433,1.6065163612365723,0.141792893409729,0.09680523083316331,75,152,0.4934210526315789,8.660254037844387,1
028,1.2807352542877197,1.5328131914138794,0.25207793712615967,0.19682282991917224,77,274,0.28102189781021897,12.179089374846875,1
029,1.508723258972168,1.5096988677978516,0.0009756088256835938,0.0006466453140970574,98,219,0.4474885844748858,9.899494936611665,1
030,1.2426596879959106,1.3947227001190186,0.1520630121231079,0.12236899095708681,49,207,0.23671497584541062,7.0,1
031,1.5503580570220947,1.5903592109680176,0.04000115394592285,0.02580123589176328,117,204,0.5735294117647058,10.816653826391969,1
032,1.4162729978561401,1.4389735460281372,0.02270054817199707,0.016028370382235382,37,214,0.17289719626168223,6.082762530298219,1
033,1.6402801275253296,1.693206787109375,0.05292665958404541,0.03226684192284595,81,129,0.627906976744186,9.0,1
034,1.4726510047912598,1.6393423080444336,0.16669130325317383,0.11319131465014103,63,184,0.3423913043478261,7.54983443527075,1
035,1.2824842929840088,1.387143850326538,0.1046595573425293,0.08160689211952343,56,275,0.20363636363636364,10.08629197387185,1
036,1.4302830696105957,1.6433335542678833,0.2130504846572876,0.14895686677972916,85,262,0.3244274809160305,9.219544457292887,1
037,1.3506262302398682,1.4285435676574707,0.07791733741760254,0.057689785429211306,39,201,0.19402985074626866,6.244997998398398,1
038,1.5481282472610474,1.6384073495864868,0.09027910232543945,0.05831500231661135,85,198,0.4292929292929293,9.219544457292887,1
039,1.1958870887756348,1.2577300071716309,0.061842918395996094,0.05171300783865114,61,278,0.21942446043165467,10.935413758221827,1
